id n_ind mle species temp hour mle_bias
LMB_Stool_Chin_797 1 1 LMB 18.5 36 0
LMB_Stool_Chin_800 1 1 LMB 15.5 36 0
LMB_Stool_Chin_802 1 1 LMB 15.5 36 0
LMB_Stool_Chin_805 1 1 LMB 18.5 48 0
LMB_Stool_Chin_809 1 1 LMB 18.5 48 0
LMB_Stool_Chin_817 1 1 LMB 18.5 60 0
LMB_Stool_Chin_820_MISSING 1 1 LMB 18.5 60 0
LMB_Stool_Chin_822 1 1 LMB 15.5 60 0
LMB_Stool_Chin_827 1 1 LMB 18.5 72 0
LMB_Stool_Chin_828 1 1 LMB 18.5 72 0
LMB_Stool_Chin_832 1 1 LMB 18.5 72 0
LMB_Stool_Chin_842 1 1 LMB 18.5 84 0
LMB_Stool_Chin_843 1 1 LMB 18.5 84 0
LMB_Stool_Chin_847 1 1 LMB 15.5 84 0
LMB_Stool_Chin_850 1 1 LMB 18.5 96 0
LMB_Stool_Chin_856 1 1 LMB 15.5 96 0
LMB_Stool_Chin_867 3 1 LMB 18.5 24 -2
LMB_Stool_Chin_871 3 1 LMB 18.5 24 -2
LMB_Stool_Chin_875 3 1 LMB 15.5 24 -2
LMB_Stool_Chin_881 3 1 LMB 18.5 36 -2
LMB_Stool_Chin_884 3 1 LMB 15.5 36 -2
LMB_Stool_Chin_885 3 1 LMB 15.5 36 -2
LMB_Stool_Chin_887 3 1 LMB 15.5 36 -2
LMB_Stool_Chin_897_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_902 3 1 LMB 18.5 6 -2
LMB_Stool_Chin_908 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_909 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_910 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_912 3 1 LMB 15.5 60 -2
LMB_Stool_Chin_915 3 1 LMB 15.5 60 -2
LMB_Stool_Chin_917 3 1 LMB 15.5 60 -2
LMB_Stool_Chin_919 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_920 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_926_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_930 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_933 3 1 LMB 15.5 84 -2
LMB_Stool_Chin_939 3 1 LMB 15.5 96 -2
LMB_Stool_Chin_941 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_942_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_944 3 1 LMB 18.5 120 -2
LMB_Stool_Chin_947 3 1 LMB 15.5 96 -2
CCF_Stool_Chin_1013 1 1 CCF 15.5 48 0
CCF_Stool_Chin_1017 1 1 CCF 18.5 36 0
CCF_Stool_Chin_1020 1 1 CCF 18.5 36 0
CCF_Stool_Chin_1025 1 1 CCF 15.5 36 0
CCF_Stool_Chin_1045 1 1 CCF 15.5 6 0
CCF_Stool_Chin_1050 1 1 CCF 15.5 72 0
CCF_Stool_Chin_1051 1 1 CCF 18.5 72 0
CCF_Stool_Chin_1052 1 1 CCF 18.5 72 0
CCF_Stool_Chin_1053 1 1 CCF 18.5 72 0
CCF_Stool_Chin_1054 1 1 CCF 18.5 72 0
CCF_Stool_Chin_1068 3 1 CCF 18.5 120 -2
CCF_Stool_Chin_1069 3 1 CCF 18.5 120 -2
CCF_Stool_Chin_1070 3 1 CCF 18.5 120 -2
CCF_Stool_Chin_1071 3 1 CCF 15.5 120 -2
CCF_Stool_Chin_1072 3 1 CCF 15.5 120 -2
CCF_Stool_Chin_1073 3 1 CCF 15.5 120 -2
CCF_Stool_Chin_1074 3 1 CCF 15.5 72 -2
CCF_Stool_Chin_1076 3 1 CCF 18.5 96 -2
CCF_Stool_Chin_1077 3 1 CCF 18.5 96 -2
CCF_Stool_Chin_1082 3 1 CCF 15.5 96 -2
CCF_Stool_Chin_1084 3 1 CCF 15.5 96 -2
CCF_Stool_Chin_1085 3 1 CCF 15.5 96 -2
CCF_Stool_Chin_1087 3 1 CCF 18.5 84 -2
CCF_Stool_Chin_1088 3 1 CCF 18.5 84 -2
CCF_Stool_Chin_1090 3 1 CCF 18.5 84 -2
CCF_Stool_Chin_1092 3 1 CCF 15.5 84 -2
CCF_Stool_Chin_1094 3 1 CCF 15.5 84 -2
CCF_Stool_Chin_1095 3 1 CCF 15.5 84 -2
CCF_Stool_Chin_1101 3 1 CCF 15.5 24 -2
CCF_Stool_Chin_1116 3 1 CCF 18.5 60 -2
