Sample_ID,Sample_Plate,Sample_Well,species,temp,smolt,hour
LMB_Stool_Chin_825,LMBStomachs_17,A11,LMB,15.5,1,60
LMB_Stool_Chin_826,LMBStomachs_17,B11,LMB,15.5,1,60
LMB_Stool_Chin_827,LMBStomachs_17,C11,LMB,18.5,1,72
LMB_Stool_Chin_828,LMBStomachs_17,D11,LMB,18.5,1,72
LMB_Stool_Chin_830,LMBStomachs_17,E11,LMB,18.5,1,72
LMB_Stool_Chin_831,LMBStomachs_17,F11,LMB,18.5,1,72
LMB_Stool_Chin_832,LMBStomachs_17,G11,LMB,18.5,1,72
LMB_Stool_Chin_833,LMBStomachs_17,H11,LMB,15.5,1,72
LMB_Stool_Chin_834,LMBStomachs_17,A12,LMB,15.5,1,72
LMB_Stool_Chin_835,LMBStomachs_17,B12,LMB,15.5,1,72
LMB_Stool_Chin_836,LMBStomachs_17,C12,LMB,15.5,1,72
LMB_Stool_Chin_837,LMBStomachs_17,D12,LMB,15.5,1,72
LMB_Stool_Chin_838,LMBStomachs_17,E12,LMB,18.5,1,84
LMB_Stool_Chin_839,LMBStomachs_17,F12,LMB,18.5,1,84
LMB_Stool_Chin_840,LMBStomachs_17,G12,LMB,18.5,1,84
LMB_Stool_Chin_842,LMBStomachs_18,A01,LMB,18.5,1,84
LMB_Stool_Chin_843,LMBStomachs_18,B01,LMB,18.5,1,84
LMB_Stool_Chin_844,LMBStomachs_18,C01,LMB,15.5,1,84
LMB_Stool_Chin_845,LMBStomachs_18,D01,LMB,15.5,1,84
LMB_Stool_Chin_846,LMBStomachs_18,E01,LMB,15.5,1,84
LMB_Stool_Chin_847,LMBStomachs_18,F01,LMB,15.5,1,84
LMB_Stool_Chin_848,LMBStomachs_18,G01,LMB,15.5,1,84
LMB_Stool_Chin_849,LMBStomachs_18,H01,LMB,18.5,1,96
LMB_Stool_Chin_850,LMBStomachs_18,A02,LMB,18.5,1,96
LMB_Stool_Chin_851,LMBStomachs_18,B02,LMB,18.5,1,96
LMB_Stool_Chin_852,LMBStomachs_18,C02,LMB,18.5,1,96
LMB_Stool_Chin_853,LMBStomachs_18,D02,LMB,18.5,1,96
LMB_Stool_Chin_854,LMBStomachs_18,E02,LMB,15.5,1,96
LMB_Stool_Chin_855,LMBStomachs_18,F02,LMB,15.5,1,96
LMB_Stool_Chin_856,LMBStomachs_18,G02,LMB,15.5,1,96
LMB_Stool_Chin_857,LMBStomachs_18,H02,LMB,15.5,1,96
LMB_Stool_Chin_858,LMBStomachs_18,A03,LMB,15.5,1,96
LMB_Stool_Chin_859,LMBStomachs_18,B03,LMB,18.5,3,12
LMB_Stool_Chin_860,LMBStomachs_18,C03,LMB,18.5,3,12
LMB_Stool_Chin_861,LMBStomachs_18,D03,LMB,18.5,3,12
LMB_Stool_Chin_862,LMBStomachs_18,E03,LMB,18.5,3,12
LMB_Stool_Chin_863,LMBStomachs_18,F03,LMB,15.5,3,12
LMB_Stool_Chin_864,LMBStomachs_18,G03,LMB,15.5,3,12
LMB_Stool_Chin_865,LMBStomachs_18,H03,LMB,15.5,3,12
LMB_Stool_Chin_866,LMBStomachs_18,A04,LMB,15.5,3,12
LMB_Stool_Chin_867,LMBStomachs_18,B04,LMB,18.5,3,24
LMB_Stool_Chin_868,LMBStomachs_18,C04,LMB,18.5,3,24
LMB_Stool_Chin_870,LMBStomachs_18,D04,LMB,18.5,3,24
LMB_Stool_Chin_871,LMBStomachs_18,E04,LMB,18.5,3,24
LMB_Stool_Chin_872,LMBStomachs_18,F04,LMB,15.5,3,24
LMB_Stool_Chin_875,LMBStomachs_18,G04,LMB,15.5,3,24
LMB_Stool_Chin_876,LMBStomachs_18,H04,LMB,15.5,3,24
LMB_Stool_Chin_879,LMBStomachs_18,A05,LMB,15.5,3,24
LMB_Stool_Chin_880,LMBStomachs_18,B05,LMB,18.5,3,36
LMB_Stool_Chin_881,LMBStomachs_18,C05,LMB,18.5,3,36
LMB_Stool_Chin_882,LMBStomachs_18,D05,LMB,18.5,3,36
LMB_Stool_Chin_883,LMBStomachs_18,E05,LMB,18.5,3,36
LMB_Stool_Chin_884,LMBStomachs_18,F05,LMB,15.5,3,36
LMB_Stool_Chin_885,LMBStomachs_18,G05,LMB,15.5,3,36
LMB_Stool_Chin_886,LMBStomachs_18,H05,LMB,15.5,3,36
LMB_Stool_Chin_887,LMBStomachs_18,A06,LMB,15.5,3,36
LMB_Stool_Chin_888,LMBStomachs_18,B06,LMB,18.5,3,48
LMB_Stool_Chin_889,LMBStomachs_18,C06,LMB,18.5,3,48
LMB_Stool_Chin_890,LMBStomachs_18,D06,LMB,18.5,3,48
LMB_Stool_Chin_891,LMBStomachs_18,E06,LMB,18.5,3,48
LMB_Stool_Chin_892_MISSING,LMBStomachs_18,F06,LMB,15.5,3,NA
LMB_Stool_Chin_894,LMBStomachs_18,G06,LMB,15.5,3,48
LMB_Stool_Chin_895,LMBStomachs_18,H06,LMB,15.5,3,48
LMB_Stool_Chin_897_MISSING,LMBStomachs_18,A07,LMB,15.5,3,NA
LMB_Stool_Chin_898,LMBStomachs_18,B07,LMB,18.5,3,6
LMB_Stool_Chin_900,LMBStomachs_18,C07,LMB,18.5,3,6
LMB_Stool_Chin_901,LMBStomachs_18,D07,LMB,18.5,3,6
LMB_Stool_Chin_902,LMBStomachs_18,E07,LMB,18.5,3,6
LMB_Stool_Chin_903,LMBStomachs_18,F07,LMB,15.5,3,6
LMB_Stool_Chin_904,LMBStomachs_18,G07,LMB,15.5,3,6
LMB_Stool_Chin_905,LMBStomachs_18,H07,LMB,15.5,3,6
LMB_Stool_Chin_906,LMBStomachs_18,A08,LMB,15.5,3,6
LMB_Stool_Chin_908,LMBStomachs_18,B08,LMB,18.5,3,60
LMB_Stool_Chin_909,LMBStomachs_18,C08,LMB,18.5,3,60
LMB_Stool_Chin_910,LMBStomachs_18,D08,LMB,18.5,3,60
LMB_Stool_Chin_911,LMBStomachs_18,E08,LMB,18.5,3,60
LMB_Stool_Chin_912,LMBStomachs_18,F08,LMB,15.5,3,60
LMB_Stool_Chin_913,LMBStomachs_18,G08,LMB,15.5,3,60
LMB_Stool_Chin_915,LMBStomachs_18,H08,LMB,15.5,3,60
LMB_Stool_Chin_917,LMBStomachs_18,A09,LMB,15.5,3,60
LMB_Stool_Chin_918,LMBStomachs_18,B09,LMB,18.5,3,72
LMB_Stool_Chin_919,LMBStomachs_18,C09,LMB,18.5,3,72
LMB_Stool_Chin_920,LMBStomachs_18,D09,LMB,18.5,3,72
LMB_Stool_Chin_922,LMBStomachs_18,E09,LMB,18.5,3,72
LMB_Stool_Chin_923_MISSING,LMBStomachs_18,F09,LMB,15.5,3,NA
